Comunidades y Ciudades Autónomas;Nacionalidad;Periodo;Total
18 Ceuta;Española;2016;10,67
18 Ceuta;Española;2015;11,17
18 Ceuta;Española;2014;12,36
18 Ceuta;Española;2013;11,04
18 Ceuta;Española;2012;11,95
18 Ceuta;Española;2011;12,19
18 Ceuta;Española;2010;12,50
18 Ceuta;Española;2009;12,58
18 Ceuta;Española;2008;13,06
18 Ceuta;Española;2007;13,62
18 Ceuta;Española;2006;12,79
18 Ceuta;Española;2005;13,48
18 Ceuta;Española;2004;13,23
18 Ceuta;Española;2003;13,12
18 Ceuta;Española;2002;13,08
18 Ceuta;Extranjera;2021;32,35
18 Ceuta;Extranjera;2020;44,34
18 Ceuta;Extranjera;2019;37,88
18 Ceuta;Extranjera;2018;47,22
18 Ceuta;Extranjera;2017;44,79
18 Ceuta;Extranjera;2016;43,20
18 Ceuta;Extranjera;2015;43,54
18 Ceuta;Extranjera;2014;45,52
18 Ceuta;Extranjera;2013;39,26
18 Ceuta;Extranjera;2012;33,29
18 Ceuta;Extranjera;2011;41,19
18 Ceuta;Extranjera;2010;52,47
18 Ceuta;Extranjera;2009;56,74
18 Ceuta;Extranjera;2008;63,58
18 Ceuta;Extranjera;2007;50,34
18 Ceuta;Extranjera;2006;44,68
18 Ceuta;Extranjera;2005;43,80
18 Ceuta;Extranjera;2004;49,76
18 Ceuta;Extranjera;2003;38,97
18 Ceuta;Extranjera;2002;43,29
19 Melilla;Ambas nacionalidades;2021;11,17
19 Melilla;Ambas nacionalidades;2020;11,41
19 Melilla;Ambas nacionalidades;2019;14,64
19 Melilla;Ambas nacionalidades;2018;15,83
19 Melilla;Ambas nacionalidades;2017;15,82
19 Melilla;Ambas nacionalidades;2016;17,19
19 Melilla;Ambas nacionalidades;2015;17,83
19 Melilla;Ambas nacionalidades;2014;19,33
19 Melilla;Ambas nacionalidades;2013;18,04
19 Melilla;Ambas nacionalidades;2012;18,34
19 Melilla;Ambas nacionalidades;2011;18,15
19 Melilla;Ambas nacionalidades;2010;17,55
19 Melilla;Ambas nacionalidades;2009;17,09
19 Melilla;Ambas nacionalidades;2008;17,34
19 Melilla;Ambas nacionalidades;2007;15,87
19 Melilla;Ambas nacionalidades;2006;16,52
19 Melilla;Ambas nacionalidades;2005;15,25
19 Melilla;Ambas nacionalidades;2004;15,39
19 Melilla;Ambas nacionalidades;2003;17,04
19 Melilla;Ambas nacionalidades;2002;16,02
19 Melilla;Española;2021;8,66
19 Melilla;Española;2020;8,23
19 Melilla;Española;2019;9,45
19 Melilla;Española;2018;10,47
19 Melilla;Española;2017;9,70
19 Melilla;Española;2016;10,92
19 Melilla;Española;2015;11,20
19 Melilla;Española;2014;12,60
19 Melilla;Española;2013;12,29
19 Melilla;Española;2012;11,91
19 Melilla;Española;2011;12,40
19 Melilla;Española;2010;12,37
19 Melilla;Española;2009;12,23
19 Melilla;Española;2008;12,43
19 Melilla;Española;2007;11,33
19 Melilla;Española;2006;11,72
19 Melilla;Española;2005;11,10
19 Melilla;Española;2004;11,57
19 Melilla;Española;2003;12,10
19 Melilla;Española;2002;11,92
19 Melilla;Extranjera;2021;34,09
19 Melilla;Extranjera;2020;38,14
19 Melilla;Extranjera;2019;55,78
19 Melilla;Extranjera;2018;56,70
19 Melilla;Extranjera;2017;60,41
19 Melilla;Extranjera;2016;62,23
19 Melilla;Extranjera;2015;64,61
19 Melilla;Extranjera;2014;66,75
19 Melilla;Extranjera;2013;54,65
19 Melilla;Extranjera;2012;57,47
19 Melilla;Extranjera;2011;55,62
19 Melilla;Extranjera;2010;53,44
19 Melilla;Extranjera;2009;53,11
19 Melilla;Extranjera;2008;57,11
19 Melilla;Extranjera;2007;56,76
19 Melilla;Extranjera;2006;66,33
19 Melilla;Extranjera;2005;64,04
19 Melilla;Extranjera;2004;69,46
19 Melilla;Extranjera;2003;72,98
19 Melilla;Extranjera;2002;54,43
